"","code","phecode_unrolled"
"301","259","259"
"302","259.1","259.1"
"303","259.2","259.2"
"304","259.3","259.3"
"305","259.4","259.4"
"306","259.8","259.8"
"307","260","260"
"308","260.1","260.1"
"309","260.2","260.2"
"310","260.21","260.21"
"311","260.22","260.22"
"312","260.3","260.3"
"313","260.6","260.6"
"314","260.7","260.7"
"315","261","261"
"316","261.1","261.1"
"317","261.2","261.2"
"318","261.3","261.3"
"319","261.4","261.4"
"320","261.41","261.41"
"321","262","262"
"322","263","263"
"323","264","264"
"324","264.1","264.1"
"325","264.2","264.2"
"326","264.3","264.3"
"327","264.9","264.9"
"328","269","269"
"329","270","270"
"330","270.1","270.1"
"331","270.11","270.11"
"332","270.12","270.12"
"333","270.2","270.2"
"334","270.21","270.21"
"335","270.3","270.3"
"336","270.31","270.31"
"337","270.32","270.32"
"338","270.33","270.33"
"339","270.34","270.34"
"340","270.35","270.35"
"341","270.38","270.38"
"342","271","271"
"343","271.3","271.3"
"344","271.9","271.9"
"345","272","272"
"346","272.1","272.1"
"347","272.11","272.11"
"348","272.12","272.12"
"349","272.13","272.13"
"350","272.14","272.14"
"351","272.9","272.9"
"352","274","274"
"353","274.1","274.1"
"354","274.11","274.11"
"355","274.2","274.2"
"356","274.21","274.21"
"357","275","275"
"358","275.1","275.1"
"359","275.11","275.11"
"360","275.2","275.2"
"361","275.3","275.3"
"362","275.5","275.5"
"363","275.51","275.51"
"364","275.53","275.53"
"365","275.6","275.6"
"366","276","276"
"367","276.1","276.1"
"368","276.11","276.11"
"369","276.12","276.12"
"370","276.13","276.13"
"371","276.14","276.14"
"372","276.4","276.4"
"373","276.41","276.41"
"374","276.42","276.42"
"375","276.5","276.5"
"376","276.6","276.6"
"377","276.8","276.8"
"378","277","277"
"379","277.1","277.1"
"380","277.2","277.2"
"381","277.4","277.4"
"382","277.5","277.5"
"383","277.51","277.51"
"384","277.6","277.6"
"385","277.7","277.7"
"386","277.8","277.8"
"387","278","278"
"388","278.1","278.1"
"389","278.11","278.11"
"390","278.3","278.3"
"391","278.4","278.4"
"392","279","279"
"393","279.1","279.1"
"394","279.11","279.11"
"395","279.2","279.2"
"396","279.7","279.7"
"397","279.8","279.8"
"398","280","280"
"399","280.1","280.1"
"400","280.2","280.2"
"401","281","281"
"402","281.1","281.1"
"403","281.11","281.11"
"404","281.12","281.12"
"405","281.13","281.13"
"406","281.9","281.9"
"407","282","282"
"408","282.5","282.5"
"409","282.8","282.8"
"410","282.9","282.9"
"411","283","283"
"412","283.1","283.1"
"413","283.2","283.2"
"414","283.21","283.21"
"415","284","284"
